37 PS,4344,4344,4348,4348,4365,4365,4371,4371,4372,4372,
0.038,0.04,0.037,0.037,0.037,0.039,0.038,0.038,0.037,0.039,0.038,0.039
0.036,0.505,0.228,0.125,0.101,0.111,0.196,0.333,0.334,0.382,0.352,0.208
0.037,0.463,0.312,0.169,0.137,0.165,0.158,0.177,0.207,0.25,0.267,0.066
0.036,0.413,0.28,0.157,0.183,0.153,0.151,0.174,0.242,0.246,0.264,0.077
0.04,0.442,0.541,0.185,0.21,0.195,0.212,0.257,0.383,0.238,0.374,0.074
0.039,0.427,0.385,0.177,0.19,0.141,0.186,0.355,0.439,0.315,0.398,0.074
0.037,0.481,0.474,0.161,0.215,0.139,0.232,0.315,0.434,0.458,0.326,0.07
0.039,0.041,0.041,0.041,0.038,0.04,0.037,0.039,0.039,0.034,0.045,0.04
37 PS,4374,4374,4381,4381,4402,4402,4408,4408,4417,4417,
0.036,0.036,0.035,0.037,0.036,0.038,0.039,0.035,0.037,0.038,0.037,0.037
0.039,0.654,0.619,0.19,0.254,0.237,0.374,0.514,0.533,0.245,0.201,0.289
0.036,0.511,0.476,0.183,0.183,0.264,0.336,0.403,0.394,0.192,0.217,0.08
0.039,0.411,0.412,0.209,0.173,0.236,0.292,0.497,0.359,0.165,0.162,0.073
0.036,0.788,0.733,0.217,0.263,0.388,0.573,0.41,0.643,0.215,0.347,0.074
0.039,0.636,0.921,0.287,0.184,0.435,0.519,0.472,0.567,0.22,0.396,0.088
0.038,0.593,1.175,0.321,0.297,0.542,0.597,0.961,0.677,0.45,0.471,0.079
0.039,0.047,0.038,0.038,0.038,0.04,0.039,0.04,0.042,0.037,0.037,0.046
37 PS,4418,4418,4419,4419,4422,4422,4431,4431,6101,6101,
0.034,0.035,0.039,0.035,0.038,0.035,0.036,0.041,0.035,0.033,0.034,0.034
0.038,0.321,0.41,0.218,0.257,0.526,0.711,0.384,0.643,1.086,1.421,0.309
0.039,0.4,0.482,0.252,0.237,0.387,0.407,0.468,0.89,1.062,1.421,2.136
0.037,0.265,0.413,0.242,0.252,0.257,0.839,0.509,0.856,1.109,1.624,0.111
0.036,0.429,0.346,0.224,0.182,0.504,0.435,0.546,0.776,1.100,2.277,0.077
0.036,0.865,0.368,0.21,0.163,0.562,0.604,0.619,0.573,1.256,2.523,0.086
0.036,0.937,1.35,0.308,0.23,1.251,0.502,1.514,0.588,2.692,2.71,0.074
